Sr.No.,Response No,1.Avengers End Game,2.Toy Story 4,3.Frozen II,4.Captain Marvel,5.Dolemite Is My Name,6.Knives Out,7.US,8.John Wick: Chapter 3- Parabellum,9.Shazam,10.Spider-Man: Far From Home
,, , , , , , , , , , 
1,1,N/A,1,1,1,N/A,N/A,N/A,N/A,1,N/A
2,2,2,N/A,N/A,4,3,N/A,N/A,4,5,5
3,3,5,4,N/A,3,N/A,N/A,N/A,5,3,4
4,4,5,4,N/A,4,5,N/A,3,5,4,3
5,5,5,5,5,5,4,N/A,4,N/A,3,4
6,6,5,N/A,N/A,4,N/A,N/A,N/A,4,N/A,N/A
7,7,5,4,3,4,N/A,N/A,N/A,N/A,4,3
