ID,titles,resp1,resp2,resp3,resp4,resp5,resp6,resp7
1,Avengers End Game,N/A,2,5,5,5,5,5
2,Toy Story 4,1,N/A,4,4,5,N/A,4
3,Frozen II,1,N/A,N/A,N/A,5,N/A,3
4,Captain Marvel,1,4,3,4,5,4,4
5,Dolemite Is My Name,N/A,3,N/A,5,4,N/A,N/A
6,Knives Out,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,US,N/A,N/A,N/A,3,4,N/A,N/A
8,John Wick: Chapter 3- Parabellum,N/A,4,5,5,N/A,4,N/A
9,Shazam,1,5,3,4,3,N/A,4
10,Spider-Man: Far From Home,N/A,5,4,3,4,N/A,3
